FY,World Only,Solar PV,Liquid Biofuels,Hydro Power,Wind Power,Solid Biomass,Solar Heating & Cooling,Biogas
2014,6492.0,112.0,35,112.0,48.0,58,41.0,85
2015,7674.1,125.0,35,125.0,48.0,58,75.0,85
2016,8079.4,103.0,35,120.9,48.0,58,75.0,85
2017,9823.0,120.9,35,126.3,60.5,58,13.8,85
2018,10983.0,164.0,35,128.9,61.0,58,17.0,85
2019,11043.0,115.0,35,126.3,58.0,58,20.7,85
2020,11459.0,204.0,35,126.3,58.0,58,23.8,85
2021,12078.0,726.0,35,267.0,63.0,58,19.5,85
2022,12767.0,863.0,35,191.5,44.0,58,21.0,85
2023,13720.0,888.0,35,166.0,40.0,58,36.0,85
